ID,sf_s_ornl_brd_p10_b_none_c_c,sf_s_ornl_brd_p25_b_none_c_c,sf_s_ornl_brd_p50_b_none_c_c,sf_s_ornl_brd_p75_b_none_c_c,sf_s_ornl_brd_p90_b_none_c_c,sf_s_ornl_brd_mean_b_none_c_c
9101001,111,127,154,181,197,156
9101002,111,127,153,180,196,115
9102001,110,131,165,200,400,223
9104001,971,1192,1616,2059,2535,1689
9104002,781,1171,1778,2593,3495,1974
9106001,468,780,1114,1657,2301,1262
9107001,583,1022,2003,3559,4911,2322
9113001,257,614,1423,2640,4014,1772
9116001,127,170,367,1495,3175,1031
9122002,46,105,140,175,197,111
9123001,97,121,157,192,334,164
9126001,126,177,326,524,870,399
9127001,155,269,493,875,1796,759
9129002,114,152,278,864,2094,702
9131001,110,134,175,274,701,281
9134001,113,144,197,293,395,205
9135001,134,191,475,1335,2208,871
9140001,124,173,448,1554,3595,1111
9400000,36,89,133,171,193,95
9402001,39,98,136,173,195,97
9404001,82,120,160,200,1071,413
9405001,44,104,141,179,217,108
9412001,27,66,122,165,191,87
9414001,38,96,136,173,196,97
9416001,32,81,130,168,192,94
9420001,60,112,149,186,278,145
9423001,74,119,159,200,681,302
9433001,108,129,165,200,763,367
9434001,124,166,317,1360,2666,949
9436001,108,128,162,195,411,236
9437002,101,129,176,440,1837,585
10100002,36,90,133,171,193,92
10100006,33,83,131,170,193,89
10102001,30,75,126,166,190,94
10111001,59,112,148,184,260,137
10121001,140,201,315,594,1468,638
10122001,92,125,170,284,830,363
10122003,91,125,170,282,821,363
10133000,116,145,193,544,1237,460
10134001,117,146,195,477,1153,456
10137001,113,136,176,305,1405,586
10140001,113,132,164,196,270,137
10142003,113,133,166,199,360,178
10304001,41,101,138,176,198,100
10305001,37,93,137,177,208,111
10306001,59,111,144,178,198,114
10311001,70,119,163,260,1198,470
10313001,252,593,1596,3820,4937,2156
10322003,50,107,141,176,197,106
10327001,140,402,1444,2687,4430,1760
10328001,115,152,353,2003,4231,1263
10340001,103,129,173,289,644,258
10343001,104,127,164,227,897,292
10343002,124,174,1272,2878,4672,1701
10344003,118,162,582,2674,4926,1532
10344004,115,154,370,2043,4756,1304
10351001,149,664,2264,4901,4960,2551
10356001,182,573,1655,4687,4957,2319
10362001,2001,3243,4775,4947,4979,4038
10363002,1953,2776,4182,4939,4975,3826
10364001,148,420,1472,4546,4955,2200
10401001,102,122,155,189,270,140
10405002,70,114,148,181,211,123
10405005,111,127,154,181,197,113
10411002,1069,1462,2232,3190,4584,2473
10414001,158,403,897,1951,3674,1387
10431000,84,124,171,280,440,202
10431001,29,73,130,178,251,108
10432002,52,110,154,198,372,168
10432003,190,320,749,1134,1737,839
10440000,26,65,122,171,205,98
10503001,31,78,130,171,196,92
10514001,35,87,136,179,249,129
10520001,34,86,135,176,217,114
10523002,34,86,135,177,220,114
10701002,25,63,119,165,193,87
10702002,41,101,145,190,346,182
10704002,39,96,142,187,314,167
11020004,21,53,107,158,189,73
11040001,43,103,142,181,248,122
11130001,21,54,108,164,198,83
11141001,76,128,187,565,997,370
11143001,68,118,161,243,718,251
11143002,31,78,127,165,187,93
11147001,42,102,145,188,396,173
11147002,19,48,95,156,193,74
11302001,92,127,174,391,1043,365
11307001,33,82,130,168,191,89
11308001,45,105,149,192,522,214
11310001,120,181,353,840,1728,733
11310002,35,87,149,244,662,211
11310003,69,120,169,344,768,303
11312001,18,45,91,146,180,58
11315001,19,47,95,149,182,73
11316001,92,122,162,216,521,195
11317001,85,125,172,311,829,346
11335002,22,55,109,159,189,71
11337001,29,73,127,170,196,89
11342001,46,106,150,193,487,215
11405001,51,108,145,183,238,143
11500002,33,82,132,173,198,109
11505001,30,76,129,172,197,102
11514001,37,92,138,178,227,106
11520002,23,58,113,159,186,68
11521001,17,42,85,139,176,82
11530000,44,104,152,199,643,290
