ID,gl_s_dga_ga_tot_n_none_c_c,gl_s_dga_ga_tot_s_none_c_c,gl_s_dga_gta_tot_n_none_c_c,gl_s_dga_gta_tot_s_none_c_c,gl_s_dga_rgla_tot_n_none_c_c,gl_s_dga_rgla_tot_s_none_c_c,gl_s_dga_gwe_tot_n_none_c_c,gl_s_dga_gwe_tot_s_none_c_c,gl_s_dga_gtwe_tot_n_none_c_c,gl_s_dga_gtwe_tot_s_none_c_c,gl_s_dga_rglwe_tot_n_none_c_c,gl_s_dga_rglwe_tot_s_none_c_c,gl_s_dga_galt_mean_n_none_c_c,gl_s_dga_galt_mean_s_none_c_c,gl_s_dga_gtalt_mean_n_none_c_c,gl_s_dga_gtalt_mean_s_none_c_c,gl_s_dga_rglalt_mean_n_none_c_c,gl_s_dga_rglalt_mean_s_none_c_c
5734001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5737002,49798,7751337,0,326649,5837714,12246595,2073090,207806756,0,3645768,82923661,119536049,4554,4373,0,4686,3913,3674
5741001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5746001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5748001,57568799,228696757,4819413,15474263,52314007,88785347,2271933646,9745812000,50863634,169305479,681808088,1019235465,4479,4267,4828,4309,3909,3669
6000003,0,1287665,180509,304191,3484512,774029,0,23394057,1465602,2668613,45934534,6950391,0,3333,3815,3485,3688,3320
6002001,27438726,26258008,1178095,2993703,5312326,1309770,1370819144,1177755781,12591407,27657992,71892524,10252521,3688,3629,3708,3514,3461,3243
6003001,27439189,57878941,1547711,5523069,10021553,2899177,1370828366,2700393125,15666724,56533717,134650524,25298325,3688,3561,3769,3564,3573,3263
6006001,1492200,20140290,615493,1921939,3638423,9306183,33207116,562674770,5272289,20032854,36379188,102804634,3940,3642,4468,3864,3942,3496
6008005,54618621,90412960,3142044,8201949,14020379,13245650,3119890986,3768789036,31586837,83552292,173641651,135454614,3683,3596,3917,3636,3666,3438
6011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6013001,0,564,22327,562689,63534,400946,0,9221,114895,4797431,372431,2762380,0,3404,3612,3234,3296,3318
6015001,0,564,22327,562689,63534,400946,0,9221,114895,4797431,372431,2762380,0,3404,3612,3234,3296,3318
6018001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6019003,54645412,90462710,3166005,8774425,14091707,13653715,3121412229,3770856495,31718020,88414744,174110695,138290165,3683,3596,3915,3610,3665,3435
6027001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6028001,6123019,57998295,1153856,5752493,6886541,6260312,203301732,2997444562,11318404,60707787,96014532,76384327,3846,3690,4009,3634,3589,3130
6033011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6034022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6034023,6123019,57998295,1153856,5752493,6886541,6260312,203301732,2997444562,11318404,60707787,96014532,76384327,3846,3690,4009,3634,3589,3130
6035001,6123019,57998295,1153856,5752493,6886541,6260312,203301732,2997444562,11318404,60707787,96014532,76384327,3846,3690,4009,3634,3589,3130
6043001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6132001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7102005,0,0,166861,463234,13611,1288047,0,0,2115887,3437398,46031,10439240,0,0,3414,3071,3307,3118
7103001,1740006,1162854,46678,225792,0,0,40864947,20096986,337098,3236108,0,0,3404,3467,3604,3660,0,0
7104002,1740006,1162854,213539,689026,13611,1288047,40864947,20096986,2452985,6673507,46031,10439240,3404,3467,3455,3264,3307,3118
7112001,809305,4247611,33364,279457,0,0,19533196,102288936,204274,2030882,0,0,3329,3483,3457,3318,0,0
7115001,0,0,6031,351171,0,0,0,8,31646,3846682,0,0,0,2851,3070,3042,0,0
7116001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7123001,2549311,5410466,252934,1319654,13611,1288047,60398144,122385929,2688905,12551071,46031,10439240,3380,3480,3446,3216,3307,3118
7200002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7303000,0,529,23908,149346,0,359679,0,11383,99435,1212157,0,2413208,0,2850,2811,2811,0,2793
7306001,482456,2087878,145710,1853884,0,128905,8542549,36872131,941293,18256954,0,972855,3424,2858,3343,3066,0,3032
7308001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7308002,482456,2088484,435548,2003951,0,488584,8542549,36885092,3042483,19471484,0,3386063,3424,2858,3248,3047,0,2856
7317003,0,4907397,180723,717231,0,559973,0,98778107,1715630,6499463,0,4157322,0,2865,3238,2855,0,2505
7317005,0,4907397,180723,717231,0,559973,0,98778107,1715630,6499463,0,4157322,0,2865,3238,2855,0,2505
7320003,741898,2431168,151476,202358,0,0,13949250,61092522,1460488,1974832,0,0,3575,2993,3537,2919,0,0
7321002,1224354,9427050,767746,2923540,0,1048557,22491799,196755720,6218602,27945779,0,7543385,3515,2897,3303,2991,0,2668
7322001,1224354,9427050,767746,2923540,0,1048557,22491799,196755720,6218602,27945779,0,7543385,3515,2897,3303,2991,0,2668
7330001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7332001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7335001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7335002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7336001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7339001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7341001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7343001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7350001,0,0,137373,395216,0,0,0,0,1229015,4449575,0,0,0,0,2904,2787,0,0
7350002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7350003,0,0,137373,395216,0,0,0,0,1229015,4449575,0,0,0,0,2904,2787,0,0
7354002,0,365321,195929,1026368,0,0,0,6403716,1441571,9271789,0,0,0,2816,2898,2722,0,0
7355001,0,54513,43973,7723,0,0,0,1303849,206220,58461,0,0,0,2829,2787,2763,0,0
7355002,0,33343,43551,2456,0,0,0,798390,205329,18589,0,0,0,2829,2787,2763,0,0
7355003,0,33343,43551,2456,0,0,0,798390,205329,18589,0,0,0,2829,2787,2763,0,0
7357002,0,0,136520,394980,0,0,0,0,1220259,4448777,0,0,0,0,2903,2786,0,0
7358001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7359001,0,412948,376868,1424058,0,0,0,7586160,2876547,13742195,0,0,0,2818,2888,2740,0,0
7372001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7374001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7379002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7381001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7383001,1225218,9831901,1144550,4347970,0,1049300,22507671,204087451,9095932,41696825,0,7548679,3515,2893,3166,2909,0,2668
7400001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8104001,0,0,0,2276,0,0,0,0,0,7139,0,0,0,0,0,2598,0,0
8105001,0,9416,307383,386112,0,0,0,184173,2966198,3208091,0,0,0,2789,3007,2841,0,0
8106002,0,9416,385549,391717,0,0,0,184173,3681837,3235890,0,0,0,2789,3011,2840,0,0
8112001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8114001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8117005,0,678583,11285,86181,0,0,0,14356240,58387,575561,0,0,0,2855,2916,2713,0,0
8117006,0,678583,11285,86181,0,0,0,14356240,58387,575561,0,0,0,2855,2916,2713,0,0
8123001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8124001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8124002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8130001,0,0,0,265770,0,0,0,0,0,2382707,0,0,0,0,0,2878,0,0
8130002,0,0,0,75018,0,0,0,0,0,721149,0,0,0,0,0,2921,0,0
8132001,0,0,0,340821,0,0,0,0,0,3104174,0,0,0,0,0,2888,0,0
8134003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8135002,0,0,0,340821,0,0,0,0,0,3104174,0,0,0,0,0,2888,0,0
8140002,0,688003,396999,818897,0,0,0,14540496,3741804,6917063,0,0,0,2854,3008,2847,0,0
